caseid,sex,age,weight,height
551,F,4.1,13.8,94.0
552,M,21.8,57.7,169.5
558,M,15.1,26.6,139.7
560,F,19.1,50.8,157.5
561,M,1.4,9.2,76.2
562,M,1.4,10.3,71.1
570,F,8.5,19.4,114.3
571,M,16.9,37.9,146.0
572,M,21.4,49.4,161.3
575,F,1.1,7.3,69.8
576,M,13.8,28.2,134.0
577,M,0.8,7.8,67.9
583,F,18.6,44.8,153.7
584,F,0.9,8.0,68.6
588,F,15.8,34.8,151.8
589,M,11.6,24.3,137.2
590,M,26.6,39.2,156.2
591,F,22.6,37.4,140.3
592,M,28.6,46.6,160.0
594,M,2.3,9.4,84.5
595,M,20.9,43.7,151.9
596,M,19.7,48.2,160.7
597,M,12.8,29.9,128.0
600,M,10.8,28.3,132.1
601,M,7.8,20.4,118.0
602,M,24.8,48.2,160.0
605,M,15.8,39.2,154.9
611,M,24.8,56.4,166.0
614,M,27.8,48.6,158.0
615,F,25.8,48.2,154.9
616,M,4.8,13.3,98.0
617,F,1.1,6.7,64.1
621,F,20.8,36.8,146.0
622,F,25.5,49.0,147.3
627,M,13.6,24.9,131.4
628,M,6.6,16.3,106.0
629,M,27.6,46.3,165.1
630,F,22.6,38.0,149.9
631,F,1.6,8.5,76.2
633,F,15.6,30.2,141.6
634,F,0.9,8.1,66.7
635,M,0.6,7.2,62.9
638,M,12.8,34.9,149.9
642,M,27.8,54.5,163.8
644,F,29.4,43.1,152.4
646,F,0.8,7.3,62.2
647,F,18.2,34.2,146.0
649,F,29.8,50.0,152.0
654,M,18.1,41.3,157.5
661,F,0.4,4.8,55.9
662,M,0.4,6.2,61.0
677,F,7.5,18.4,119.4
678,F,3.5,9.4,81.3
682,F,10.6,20.2,121.9
683,M,3.6,12.8,92.7
687,F,22.6,45.1,157.5
688,F,4.6,11.6,91.4
689,M,26.6,42.2,154.9
690,F,19.6,41.6,143.5
691,M,2.6,9.2,83.2
694,M,10.6,21.2,123.8
695,M,3.6,11.6,88.9
696,M,23.6,49.3,160.0
697,F,16.6,28.0,137.2
700,M,6.6,17.7,111.1
701,F,23.6,35.5,153.7
702,M,14.6,34.2,145.4
705,F,15.6,32.5,144.8
707,M,21.6,46.8,163.8
708,M,24.6,41.9,161.3
709,M,20.6,38.2,154.9
710,M,20.6,43.3,161.3
726,F,29.6,43.0,149.9
727,M,11.6,21.5,123.8
728,F,3.6,11.4,85.1
732,F,8.6,15.5,106.0
733,F,15.6,21.9,126.4
750,F,12.6,19.3,124.5
752,M,3.6,11.1,89.5
753,M,4.6,13.5,101.6
778,F,26.8,44.2,153.7
779,F,0.5,5.5,57.5
781,F,0.4,5.2,56.5
782,M,5.8,15.1,101.6
783,M,8.8,23.2,121.9
791,F,4.1,10.7,81.6
801,M,15.6,25.0,132.7
802,F,12.6,22.6,125.1
803,F,5.6,14.3,101.6
806,F,13.6,24.8,132.7
807,M,2.6,10.7,87.6
812,F,27.6,47.0,162.6
813,M,7.6,17.5,114.9
814,F,1.7,7.2,67.9
816,M,1.6,8.0,76.8
818,M,17.6,31.1,145.4
828,F,20.8,54.1,156.2
829,M,0.7,8.1,71.1
